2018-05-29 16:24:50 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:24:50 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:29:16 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:29:16 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:29:16 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:29:16 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:29:16 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:29:16 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:29:16 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:29:16 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:31:57 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:31:57 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:31:57 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:31:57 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:31:57 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:31:57 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:31:57 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:31:57 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:32:33 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:32:33 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:32:33 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:32:33 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:32:33 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:32:33 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:32:33 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:32:33 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:33:04 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:33:04 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:33:04 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:33:04 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:33:04 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:33:04 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:33:04 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:33:04 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:35:04 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:35:48 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:35:48 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:35:48 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:35:48 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:35:48 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:35:48 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:35:48 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:35:48 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:36:06 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:36:22 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:36:49 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:37:29 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:38:59 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:38:59 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:38:59 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:38:59 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:38:59 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:38:59 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:38:59 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:38:59 [main] INFO  tlvparser.TlvParserTest - 0x81 보다 큼
2018-05-29 16:43:24 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
2018-05-29 16:43:24 [main] INFO  tlvparser.TlvParserTest - 0x82 보다 큼
